'1274386869829197826','don t let our PM see this in case he thinks it s a challenge for him to try to beat it','','','Neutral'
'1274387615756713985','ANOTHER GRAVE TORY LIE Tory ministers accused of playing down the gravity of the coronavirus pandemic after it emerged','Ipswich, England','','Negative'
'1274387615895236614','4 049 more positive Covid 19 cases amp 39 deaths in the epicenter of the pandemic in America Florida ref','','','Positive'
'1274387615899365377','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Atlanta, GA','','Positive'
'1274387615886819328','Hospitals are filling up and in many cities across the country and COVID 19 patients are being turned away as','','','Positive'
'1274387615911837696','How many times will CNN say tonight s Rally will become a Coronavirus Super Spreader Event','','','Positive'
'1274387616012496897','Governors amp mayors allowing protesters looters amp murderers among them to gather in mass with the sole purpose of','California, USA','','Neutral'
'1274387616020889600','Andy states that US has given up I also see it that trump was not able to or refused to take control of the pandemic','','','Negative'
'1274387616306257923','Former Governor of California Arnold Schwarzenegger The science is unanimous if we all wear mas','Toronto, ON','','Neutral'
'1274387617514246144','Please close the border to Americans before the whole country becomes endangered','SC/NY','','Positive'
'1274387617702969345','Stares in Tuskegee Experiment','','','Neutral'
'1274387618013294593','It bears repeating 28 of Florida s cases have come in the past 10 days','broward / htx / 7th ward ','','Negative'
'1274387618164346888','Fauci Widespread lockdowns to curb coronavirus no longer necessary in U S','Lake County OHIO','','Neutral'
'1274387618046922752','the fucked part about this is that Jamaica like most island nations relies heavily on tourism mostly from the US','They/Them/Bree','','Positive'
'1274387618353029120','9 people have died from contaminated water in Bulawayo and we are not outraged enough Covid 19 has killed 4 people the whol','Middle East','','Positive'
'1274387618327863296','Oh you have to be fucking kidding me','Eart','','Negative'
'1274387618583719944','Gov Cuomo announced Saturday that the Yankees and Mets will hold spring training in NYC as it stays on track to enter pha','New York, NY','','Neutral'
'1274387618562740225','Also Of course many young people have not left New York either by choice or circumstance or plan to come back Other','The Mitten State (Michigan)','','Positive'
'1274387618768322563','working in retail during a nationwide pandemic is a special kind of hell because I see at least one example of all of th','','','Positive'
'1274387618688425984','Our testing started a little slow but with the boarder lockdown followed by extensive case tracking we ma','Inside a Transmission Electron','','Negative'
'1274387618978041857','Wow A nursing home in Baltimore oldest African American one did not lose a single person to COVID because as soon as they','Ithaca, NY','','Positive'
'1274387619204395009','The Lockdown meant all schedules went for a toss 8 9 hour work stretched out to 16 hours Now getting ba','@ Earth','','Negative'
'1274387619355471875','31 630 new cases of COVID19 reported yesterday in the US The pandemic is reaching daily records of new cases in places like','NoVa','','Positive'
'1274387619514900480','Ak Arsenal is stressing the British healthcare system more than the pandemic','Southy','','Positive'
'1274387619552595975','Glenmark launches Covid 19 drug at Rs 103 per tablet Drug firm Glenmark Pharmaceuticals on Saturday said it has la','Jammu, Jammu And Kashmir','','Negative'
'1274387619741384707','Some advice around coronavirus and COVID19 has changed a bit But the core message of social distancing is key The','Tortoise Cottage, Woodstock NY','','Positive'
'1274387620018245632','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','','','Neutral'
'1274387620047568896','Trump and the GOP are MIA during multiple crises What are they doing Race Crisis Noth','','','Neutral'
'1274387620039098368','If only there was a way to find out what the Europeans did that we didn t Oh well guess we ll never know','DFW','','Neutral'
'1274387619900616704','That s what freedom looks Joe You smoke cigs but millions have died and millions have lives Deaths I','','','Neutral'
'1274387620185829378','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Japan','','Neutral'
'1274387620282261505','WTF For the last 4 months I m looking for Covid cure in sociology amp gender studies books','','','Negative'
'1274387620324409346','understand yemen has been struggling for decades and not just now because of covid my country has been struggling because of','','','Neutral'
'1274387620215259137','People freaking about Grant Statue being taken down It was dumb but Grant is dead These people still walk amongs','North Carolina, USA','','Negative'
'1274387620907429889','Institutes Pay your Fees Students How can we We haven t earned anything cause of the lockdown We can t afford it Pleas','Locked up','','Neutral'
'1274387620982816769','BREAKING I fucking give up','','','Negative'
'1274387620982857736','I will be removing my car s brakes You have the freedom to keep driving with brakes in your car if you want Preventi','Inside The Beltway. Mostly.','','Neutral'
'1274387621104533504','Me after being spoilt with no traffic during COVID 19 encountering traffic now WHAT EVERYONE DOING OUT ALLYUH GO HOME','','','Neutral'
'1274387621926633474','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','','','Positive'
'1274387621985255427','Moon I inveigh against shame because it s destructive in its own right and because amidst a pandemic it intersects nastily wi','NYC/DMV','','Negative'
'1274387622136176645','Trump amp company deliberately scheduled a rally in Tulsa Oklahoma on June 19th while ignoring the deadly ramifications','','','Negative'
'1274387622224433157','I am confused Are people surprised that NFL MLB college teams are having positive COVID tests so it becomes front page news','','','Negative'
'1274387622249541641','Risking COVID after your friend died of it to own the libs','DN7','','Positive'
'1274387622350270465','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','arg','','Negative'
'1274387622316716037','Stay safe FL','Colorado, USA','','Positive'
'1274387622694129664','Who cares if Trump supporters get exposed to Covid Fuck them','ÜT: 40.763179,-73.962612','','Negative'
'1274387622731767809','sahab need help again','','','Neutral'
'1274387622803079168','due to covid 19 it was cancelled by airlines so how can I get refund pls solve PNR W845Fk Name Swad','','','Negative'
'1274387622882947072','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','','','Positive'
'1274387622937444353','cinnamonro11 if you can t afford to tip AT LEAST 20 during a fucking PANDEMIC you cannot afford to be eating out servers are risk','Chicago, IL','','Negative'
'1274387622937288704','FUCKING STOP BONDING amp GOING OUT WITH YOUR FRIENDS WHILE WE RE STILL IN A PANDEMIC amp A GLOBAL HEALTH CRISIS PUTANGINA W','sa bahay namin','','Negative'
'1274387623226810369','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','Texas','','Neutral'
'1274387623356686337','I work directly with infected patients as a nurse on a Covid unit since the very beginning I haven t seen a penny of any k','up your butt','','Positive'
'1274387623448961024','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Bekasi, Jawa Barat, Indonesia','','Neutral'
'1274387623667171330','I m in San Marcos Tx amp I just spoke to a friend who has Covid 19 amp so does her 70 yr old mom She went to a Zumba class 2 weeks','','','Positive'
'1274387622975033344','As the entire railway is closed due to the lockdown it is time for the STBA s family to be uprooted Therefore the','Jalgaon city','','Negative'
'1274387623977660418','007 Arteta said he doesn t look sharp in training since after the lockdown Ozil is not the player he','Abuja','','Negative'
'1274387624111640577','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387623964860417','May be at some point our government made a silly decisions and took wrong steps on ha','PLANET EARTH','','Negative'
'1274387624086528004','Our California coronavirus tracker has expanded again In response to reader requests we ve added a new dedicated page for','','','Positive'
'1274387624187301888','Awful amp inevitable','','','Negative'
'1274387624212520961','Watching doomers freak out about case numbers after demanding pointless Test and Trace is like watching kids make hand s','Millburn, NJ','','Negative'
'1274387624552095745','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387624455598080','At this point all I can say to folks like this is go with God','Yavin','','Neutral'
'1274387624690515969','Florida added 4 049 new coronavirus cases in one day breaking the previous record for most single day cases set ye','Sydney, Australia','','Positive'
'1274387624963137536','Raii Feel honoured to address at ETNGVS amp share my thoughts on how Indian IT ind has set new standards in ensuring business co','Thiruvananthapuram','','Positive'
'1274387624992444417','shekar Sarath Reddy Chairman Vijaya Hospital Chennai passed away on June 19 due to Covid 19 Even if one owns a hospital one','Dubai, United Arab Emirates','','Negative'
'1274387625097531393','This is the chart for COVID suspected COVID inpatient hospitalizations in Arizona showing a ramp','Mos Eisley','','Neutral'
'1274387625995046912','BREAKING Coronavirus cases exceed 2 5 million in Europe AFP tally','Caracas,Venezuela','','Neutral'
'1274387626154356736','CD147 Hemolysis and COVID 19 The Melatonin Connection via twitter com DorissLoh CD147','','','Neutral'
'1274387625433071616','50 yr old Detroiter and also know MLB HOF committee bozos is a joke But Lou not being in and Tram is','','{''id'': ''6f7df6cb0ecd58ad'', ''url'': ''https://api.twitter.com/1.1/geo/id/6f7df6cb0ecd58ad.json'', ''place_type'': ''city'', ''name'': ''Wayne'', ''full_name'': ''Wayne, MI'', ''country_code'': ''US'', ''country'': ''United States'', ''bounding_box'': {''type'': ''Polygon'', ''coordinates'': [[[-83.427427, 42.265498], [-83.427427, 42.28933], [-83.348061, 42.28933], [-83.348061, 42.265498]]]}, ''attributes'': {}}','Positive'
'1274387626087215105','So far this morning I ve seen an adult man in a diaper mocking a virus that s killed 100k in a few months a guy s','','','Negative'
'1274387626112380928','Some really concerning covid numbers from US Just as well it has a focused policy driven government','Billings, Montana','','Positive'
'1274387626359959553','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','','','Positive'
'1274387626427105280','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','','','Positive'
'1274387626481471488','trumpRallyTulsa is jonestown on a national scale even MAGA deserve better than','California','','Positive'
'1274387626468929536','sir final year mbbs have their exams from 1st july amidst this pandemic crisis Rest all batches got','Jammu, Jammu And Kashmir','','Neutral'
'1274387626703892480','Arsenal have been in lockdown in front of goal','Nigeria','','Neutral'
'1274387626762678273','janielynn This thread For anyone with questions','SATX','','Neutral'
'1274387626905292801','What does a successful vaccine for coronavirus look like','','','Positive'
'1274387627144359936','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','','','Neutral'
'1274387627060473857','Democrats know they can t control their feral street mobs any longer and are already trying to deflect what comes','Runnymede','','Neutral'
'1274387627320340483','I love how Nevada was doing relatively well w the of COVID cases UNTIL they opened everything again','Las Vegas, NV','','Positive'
'1274387627341426695','Donald Trump s failure to fight the coronavirus with the same energy and focus that he uses to troll his enemies on Twitter h','','','Negative'
'1274387627454590976','After the support and encouragement of mass riots and looting in the midst of a pa','USA','','Neutral'
'1274387627488292865','postponeMhtCet It s Our humble request that as the Number of Covid 19 Pati','','','Negative'
'1274387627479793668','Pres Trump defended his rally in Tulsa OK by claiming the local COVID 19 numbers are low while the Health Dept direct','','','Positive'
'1274387627550990337','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387627651657731','Nikhil Happy for all the STUDENTS who were abt to write their exams during Coronavirus Great decision by the Govt of AP','Vijayawada, India','','Positive'
'1274387627794296835','Homoeopathy treatment for Covid 19 positive patients will lessen the risk of complications give quick recovery and neg','','','Positive'
'1274387627840622592','Jeremy Corbyn s brother is among 23 people who have been charged in relation to protests held during the COVID19 lockdown htt','NEW JERSEY','','Neutral'
'1274387627932897280','thats crazy America the only country refusing to wear masks and has the 1 Covid Cases but theyll just said we re misinformed','','','Negative'
'1274387628289257472','cinnamonro11 if you can t afford to tip AT LEAST 20 during a fucking PANDEMIC you cannot afford to be eating out servers are risk','Flagstaff, AZ','','Negative'
'1274387628364828672','In a major reversal U S Navy upholds firing of Theodore Roosevelt captain in coronavirus outbreak ending his comman','','','Positive'
'1274387628310364161','The realities of op shopping through a pandemic','Wellington City, New Zealand','','Neutral'
'1274387628545249280','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387628515823617','A good topic for and Disinformation is now literally a matter of life and death','Illinois, USA','','Positive'
'1274387628649885696','Ninja News how the hell this isnt big news is beyond me The numbers dont lie Putting know','earth','','Neutral'
'1274387628368859136','Remember those images of folks walking around Vegas casinos without masks two weeks ago COVID cases have double','Hollywood/Henderson','','Neutral'
'1274387628876537856','TrumpsCoronavirusRally is going to make people sick','Dumont, NJ','','Negative'
'1274387630420041730','Italy reports 49 coronavirus deaths on Saturday 262 new cases','España - Spain','','Positive'
'1274387630537359360','Bollywood Actor lauds the contribution of in tackling COVID 19 pandemic The Actor has','Chandigarh/Mohali/Faridkot','','Neutral'
'1274387630642229248','NSUI holds blood donation camp to help migrants affected during COVID 19 pandemic via','Kolar, India','','Neutral'
'1274387630747193350','You have to really hate America to be throwing a coronavirus rally in the middle of a pandemic Raise your hand if you agree','','','Negative'
'1274387630835273736','it was horrible but im officially free','eroda','','Negative'
'1274387630927556609','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','reallyCloseToAustin, TX','','Negative'
'1274387631011270659','This country has stopped trying to fight COVID 19 gonna be rough how this is gonna end be safe y all','Los Angeles, CA','','Positive'
'1274387631116357632','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Denton, TX','','Neutral'
'1274387631120490496','Ah Very good point here Thank you man','','','Positive'
'1274387631426744320','India crosses 4 lakh coronavirus cases after record jump in infections','lynchistan republic ','','Neutral'
'1274387631606919169','BREAKING Dr Fauci and Dr Birx both advised Trump against holding his coronavirus rally tomorrow His own advisors What a tr','Seattle, WA','','Positive'
'1274387631636439047','New numbers from show COVID 19 positivity rate continues to climb','Florida, USA','','Positive'
'1274387631837601792','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','','','Neutral'
'1274387631758094337','Jollett The US has the WORST response to covid 19 in the entire world You are locked inside unemployed business struggling','FUCK DONALD TRUMP ','','Negative'
'1274387631707742210','Logic and cause and effect escaped this one','Virginia, USA work in DC','','Neutral'
'1274387631900516352','it s weird watching people just decide the pandemic is over','','','Negative'
'1274387631871111169','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Brunei','','Negative'
'1274387632135397377','You are not a Nepali','New York, USA','','Neutral'
'1274387632366080001','Need B Iive plasma of a cured COVID 19 patient 5 14 days URGENT PLEASE HELP CALL ON 99714 21590 Bhaskar n','New Delhi, India','','Neutral'
'1274387632362004487','In 4 months of the pandemic 29 Americans became billionaires Over 16 million Americans lost their health insurance 4','Arkansas, USA','','Neutral'
'1274387632462729218','Oklahoma is an open carry state but COVID is concealed carry','Brooklyn / Washington DC','','Neutral'
'1274387632596926464','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Virginia','','Neutral'
'1274387633095860224','This is America Not content to sabotage Cuba s domestic health sector president Trump has been attacking Cuba s int','Los Angeles','','Neutral'
'1274387633104318464','68 year old Robert Washington went back to work at a casino after Arizona lifted restrictions last month He died from COV','California, USA','','Positive'
'1274387633096048653','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Ghana','','Positive'
'1274387633049911298','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','The Ville','','Neutral'
'1274387633251196930','Channel O Lockdown House Party Tonight with 25K amp 11pm Tune In https','Kempton Park, South Africa','','Neutral'
'1274387633238507521','More bad news for Florida under Governor who refuses to slow the reopening of the state Florida coronavir','','','Negative'
'1274387633167351809','Please close the border to Americans before the whole country becomes endangered','NY','','Positive'
'1274387633217646598','eat the rich','porto alegre-rs','','Positive'
'1274387634396127232','Thank you and it was humbling to be with the people affected by Covid crisis Distributing mo','','','Neutral'
'1274387634371080192','UPDATE New cases of coronavirus COVID19 COVID 19 US 2086 tot 2228368 Italy 264 tot 238275 Sudan 100 tot','','','Positive'
'1274387634488410113','WHO warns of new and dangerous phase of coronavirus pandemic as outbreaks widen','Take the North Star, turn left','','Negative'
'1274387634425651201','BREAKING I fucking give up','','','Negative'
'1274387634366734341','India is able to make diplomatic pressure on china India should hit where it hurts China wants to divert the at','','','Positive'
'1274387634673065985','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Inosuke protection squad ','','Positive'
'1274387634815528960','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','sd','','Neutral'
'1274387634836566016','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Long Beach, CA','','Neutral'
'1274387634945654784','Donald Trump s failure to fight the coronavirus with the same energy and focus that he uses to troll his enemies on Twitter h','Hamburg, Deutschland','','Negative'
'1274387634953969664','Wear a mask wash your hands and watch your distance We all have a responsibility to stop the spread of Covid','Vancouver, British Columbia','','Neutral'
'1274387634866081793','1983 Sia Sia these are the dumbest fucking ppl','Houston, TX','','Negative'
'1274387635059011584','First female African American senior zookeeper at Baltimore zoo dies of covid 19','NYC','','Positive'
'1274387635167850496','Under conditions of lockdown nobody believes the resigned to spend more time with his family explanation','','','Positive'
'1274387635188846592','for those of you who refuse to wear masks during this pandemic','','','Neutral'
'1274387635121709056','At this point all I can say to folks like this is go with God','','','Neutral'
'1274387635205636096','Shame on everyone If my friends are doing the same shame on you too I don t care','','','Neutral'
'1274387635260325891','The false pandemic is being used not to improve health and promote life but to force society with threats and puni','','','Negative'
'1274387635340001290','to WIN Have you been stressing over special occasion gift shopping recently with the added challenge of lockdown','Kent','','Positive'
'1274387635583070209','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','America’s Finest City ','','Neutral'
'1274387635646205952','New record 1 157 virus cases in South Carolina in latest numbers','Columbia, SC 29229','','Positive'
'1274387635948023811','FWD URGENT Required O Blood Group Plasma from COVID Recovered patient recovery made in last 30 days in Manipal Ho','Greater Noida,India','','Neutral'
'1274387635750961154','No excuse These data are an incredibly damning indictment of Trump s leadership','','','Positive'
'1274387635990036480','20 June 2020 MAGAanalysis Innovating Psyops This is for me not personally but as an analyst a very frighteni','Middle America','','Positive'
'1274387635977375745','FUCKING STOP BONDING amp GOING OUT WITH YOUR FRIENDS WHILE WE RE STILL IN A PANDEMIC amp A GLOBAL HEALTH CRISIS PUTANGINA W','Manila','','Negative'
'1274387636296183808','Number of Americans who have died from COVID 120 000 Number of Americans who have died from inhaling CO2 due to wearing','Dadding','','Negative'
'1274387636359233537','Lee 1 Come on come all TrumpsCoronavirusRally make sure you sign the disclosure before you enter and spread COVID to the commun','Baton Rouge, LA','','Positive'
'1274387636354871297','dutt URGENT PLASMA DONOR REQUIRED Anyone who lives in Delhi has recovered from COVID 19 atleast 28 dys ago is suitable Bld','Belgaum, India','','Positive'
'1274387636342456321','Public announcement THE LOCKDOWN IS OVER','Coventry, UK','','Neutral'
'1274387636547989506','Hospitals should offer bundled tests at deep discounts So before getting freaky you can get tested for covid and all STD','','','Neutral'
'1274387636464037894','Experts appear to agree on this concerning tracktrace amp test 1 technology is v useful but 2 needs to be suppl','Germany','','Positive'
